,gua,gus,wua,wus
256,0.5775,20.825000000000003,0.09,41.9
257,0.5775,20.825000000000003,0.09,54.06666666666667
258,0.5775,20.825000000000003,0.09,66.23333333333333
259,0.5775,20.825000000000003,0.09,78.4
260,0.5775,20.825000000000003,0.18,41.9
261,0.5775,20.825000000000003,0.18,54.06666666666667
262,0.5775,20.825000000000003,0.18,66.23333333333333
263,0.5775,20.825000000000003,0.18,78.4
264,0.5775,20.825000000000003,0.27,41.9
265,0.5775,20.825000000000003,0.27,54.06666666666667
266,0.5775,20.825000000000003,0.27,66.23333333333333
267,0.5775,20.825000000000003,0.27,78.4
268,0.5775,20.825000000000003,0.36,41.9
269,0.5775,20.825000000000003,0.36,54.06666666666667
270,0.5775,20.825000000000003,0.36,66.23333333333333
271,0.5775,20.825000000000003,0.36,78.4
272,0.5775,31.75,0.09,41.9
273,0.5775,31.75,0.09,54.06666666666667
274,0.5775,31.75,0.09,66.23333333333333
275,0.5775,31.75,0.09,78.4
276,0.5775,31.75,0.18,41.9
277,0.5775,31.75,0.18,54.06666666666667
278,0.5775,31.75,0.18,66.23333333333333
279,0.5775,31.75,0.18,78.4
280,0.5775,31.75,0.27,41.9
281,0.5775,31.75,0.27,54.06666666666667
282,0.5775,31.75,0.27,66.23333333333333
283,0.5775,31.75,0.27,78.4
284,0.5775,31.75,0.36,41.9
285,0.5775,31.75,0.36,54.06666666666667
286,0.5775,31.75,0.36,66.23333333333333
287,0.5775,31.75,0.36,78.4
288,0.5775,42.675000000000004,0.09,41.9
289,0.5775,42.675000000000004,0.09,54.06666666666667
290,0.5775,42.675000000000004,0.09,66.23333333333333
291,0.5775,42.675000000000004,0.09,78.4
292,0.5775,42.675000000000004,0.18,41.9
293,0.5775,42.675000000000004,0.18,54.06666666666667
294,0.5775,42.675000000000004,0.18,66.23333333333333
295,0.5775,42.675000000000004,0.18,78.4
296,0.5775,42.675000000000004,0.27,41.9
297,0.5775,42.675000000000004,0.27,54.06666666666667
298,0.5775,42.675000000000004,0.27,66.23333333333333
299,0.5775,42.675000000000004,0.27,78.4
300,0.5775,42.675000000000004,0.36,41.9
301,0.5775,42.675000000000004,0.36,54.06666666666667
302,0.5775,42.675000000000004,0.36,66.23333333333333
303,0.5775,42.675000000000004,0.36,78.4
304,0.5775,53.6,0.09,41.9
305,0.5775,53.6,0.09,54.06666666666667
306,0.5775,53.6,0.09,66.23333333333333
307,0.5775,53.6,0.09,78.4
308,0.5775,53.6,0.18,41.9
309,0.5775,53.6,0.18,54.06666666666667
310,0.5775,53.6,0.18,66.23333333333333
311,0.5775,53.6,0.18,78.4
312,0.5775,53.6,0.27,41.9
